Joule_heating,Points_0,Points_1,Points_2
5.89764,0.000705852,0.0264896,0.025
5.8968,0.0005,0.0273993,0.025
5.89598,0.000339797,0.0276922,0.0249736
5.89511,0.000200552,0.0246291,0.0246854
5.89354,0.0005,0.0228689,0.025
5.89308,0.000669629,0.0235589,0.025
5.89228,0.000334607,0.0225673,0.0249719
5.89057,0.000389772,0.0239861,0.0248225
5.88831,0.000257351,0.0241552,0.0247399
5.88775,2.17961e-05,0.0267571,0.024646
5.88707,0.000708688,0.0237567,0.025
5.88243,0.000451323,0.0263442,0.0248394
5.88096,0.000696218,0.0266891,0.025
5.88084,0.000195438,0.0226646,0.0248965
5.88071,7.504e-05,0.0273042,0.0247635
5.87626,0.000195682,0.0277832,0.0248967
5.87568,0.000432434,0.0245609,0.0247916
5.87341,0.000438492,0.0243142,0.0248088
5.87258,0.000334063,0.0278898,0.0249717
5.87213,8.34112e-05,0.0229084,0.0247765
5.87068,6.62472e-05,0.023045,0.0247487
5.86671,0.0005,0.0226719,0.025
5.86572,0.000681952,0.0268932,0.025
5.86495,-1.0842000000000001e-19,0.0252196,0.0245
5.86331,0.0005,0.0275963,0.025
5.86245,2.02998e-05,0.0269147,0.024641
5.86095,0.000487137,0.0261552,0.0248232
5.85972,0.000151873,0.0255436,0.0246104
5.85881,0.000284537,0.0269579,0.0247929
5.85517,0.000439769,0.024935,0.0247627
5.85436,8.85778e-05,0.0275052,0.0247841
5.85271,0.000667023,0.0231644,0.025
5.85197,0.000706438,0.0233616,0.025
5.85115,-1.0842000000000001e-19,0.0253755,0.0245
5.85043,-1.0842000000000001e-19,0.0247767,0.0245
5.84976,0.000309821,0.0267844,0.0247769
5.84859,-1.0842000000000001e-19,0.0249332,0.0245
5.84832,-1.0842000000000001e-19,0.0250631,0.0245
5.84832,1.26284e-05,0.023825,0.0246117
5.84743,0.000278934,0.0236233,0.0247666
5.84533,-1.0842000000000001e-19,0.025513,0.0245
5.84263,0.000334447,0.0223717,0.0249718
5.84178,0.00022692,0.0249283,0.0246294
5.84162,1.96789e-05,0.0234153,0.0246389
5.84008,-1.0842000000000001e-19,0.0259517,0.0245
5.83995,-1.0842000000000001e-19,0.0256643,0.0245
5.83791,0.000263877,0.0253193,0.0246464
5.8379,0.000550644,0.0241672,0.0248423
5.83775,8.72956e-05,0.0227536,0.0247823
5.83752,0.000178144,0.0224629,0.0248826
5.83674,1.62438e-05,0.0235597,0.0246264
5.83645,-1.0842000000000001e-19,0.0257979,0.0245
5.83557,0.000692349,0.0270941,0.025
5.83378,2.08633e-05,0.0232639,0.0246429
5.83369,-1.0842000000000001e-19,0.0246277,0.0245
5.83298,8.9279e-05,0.027682,0.0247851
5.83283,0.0005,0.022475,0.025
5.83275,-1.0842000000000001e-19,0.0244866,0.0245
5.83146,0.0005,0.0277933,0.025
5.8296,0.000449203,0.0268876,0.0248428
5.82935,0.000222093,0.0243097,0.0246486
5.827,-1.0842000000000001e-19,0.0240446,0.0245
5.82608,-1.0842000000000001e-19,0.0261107,0.0245
5.82478,0.000176444,0.027986,0.0248812
5.82458,0.000334167,0.0280858,0.0249717
5.82268,0.000219106,0.0240145,0.0246573
5.822,0.000584228,0.025551,0.0248112
5.82161,1.47335e-05,0.0236924,0.0246205
5.82102,0.000277005,0.0271555,0.0247774
5.82008,0.000561039,0.0247257,0.0247979
5.81667,1.86479e-05,0.0271818,0.0246353
5.81659,0.00024537,0.0260936,0.0246408
5.81656,1.29576e-05,0.0270428,0.0246131
5.81529,0.000944643,0.0251476,0.025
5.81426,0.000364069,0.0263497,0.0247242
5.81274,-1.0842000000000001e-19,0.024332,0.0245
5.81265,0.000936082,0.0255433,0.025
5.81217,0.000503893,0.0235978,0.0248386
5.81159,-1.0842000000000001e-19,0.0242021,0.0245
5.80942,-1.0842000000000001e-19,0.0263706,0.0245
5.80911,0.000950563,0.0247513,0.025
5.80844,-1.0842000000000001e-19,0.0262407,0.0245
5.80805,0.000469006,0.0237945,0.024797
5.8079,0.00069747,0.0272909,0.025
5.80618,0.000338891,0.0221753,0.0249733
5.80547,0.000703098,0.0229679,0.025
5.80471,0.000429088,0.0265049,0.0247661
5.80411,0.00021967,0.0244775,0.0246087
5.80337,0.000261151,0.0257369,0.0246183
5.80207,0.000468313,0.0259271,0.0247426
5.80154,0.000195663,0.0222636,0.0248967
5.80055,0.000930454,0.0259176,0.025
5.8002,-1.0842000000000001e-19,0.0265165,0.0245
5.79996,0.000665389,0.0227718,0.025
5.79908,0.0005,0.0279902,0.025
5.797,0.000266354,0.0230472,0.0247718
5.79601,8.33195e-05,0.0278463,0.0247764
5.79551,0.000408506,0.0234196,0.0247979
5.7912,0.0005,0.022278,0.025
5.79111,0.000956541,0.0243537,0.025
5.78941,8.37779e-05,0.0225972,0.0247771
5.78809,0.000244453,0.0247545,0.0245891
5.78732,1.74185e-05,0.0231146,0.0246308
5.78684,0.00027079,0.0273378,0.0247721
5.78654,0.000233506,0.0263699,0.0246228
5.78443,0.000695013,0.0249521,0.0248316
5.78317,-1.0842000000000001e-19,0.02666,0.0245
5.78274,0.000226869,0.0259157,0.0245837
5.7797,0.000334586,0.0219796,0.0249718
5.77898,-1.0842000000000001e-19,0.0238856,0.0245
5.77838,0.000195481,0.028187,0.0248966
