Points_0,Points_1,Points_2,Temperature
0.016343,0.0257809,0.0148163,36.7404
0.0163427,0.0289053,0.0148163,36.7129
0.0163426,0.0320299,0.0148164,36.6886
0.0163495,0.0351582,0.0148144,36.5703
0.0163786,0.0382941,0.0148062,36.1974
0.0164208,0.0414293,0.0147939,35.4893
0.0163897,0.044535,0.014803,34.8354
0.0162846,0.0474542,0.0148322,34.4698
0.0184525,0.0485953,0.0136166,34.2444
0.0199316,0.0486241,0.0108242,33.8602
0.0194666,0.0486272,0.00775296,33.3956
0.0172841,0.0486344,0.00555219,33.0522
0.0142374,0.0486491,0.0050585,33.0309
0.0114919,0.0486651,0.00643726,33.3784
0.0100717,0.048668,0.00915629,33.8998
0.0105143,0.0486248,0.0122088,34.3712
0.0125168,0.0486663,0.0143398,34.5227
0.0123827,0.0452862,0.0142603,34.8552
0.0109319,0.00275466,0.00709304,33.6544
0.0124188,0.0374946,0.0142822,36.3723
0.0125132,0.0421181,0.0143377,35.4477
0.0124127,0.0343737,0.0142785,36.7018
0.0175324,0.00628278,0.0143112,35.2538
0.0124115,0.0312497,0.0142778,36.8256
0.0102966,0.00270138,0.0116964,34.532
0.0124109,0.0281246,0.0142774,36.8683
0.0177,0.0470834,0.0142083,34.4064
0.0124095,0.024999,0.0142766,36.9073
0.0124083,0.0218726,0.0142759,36.9589
0.0124079,0.0187444,0.0142756,36.9984
0.0124073,0.0156138,0.0142752,36.9502
0.0124104,0.0124925,0.0142771,36.6615
0.0124416,0.00941475,0.0142959,36.0778
0.0123115,0.00630752,0.0142157,35.3699
0.0121368,0.00295659,0.014099,34.8568
0.013447,0.00274615,0.00524731,33.2223
0.0124118,0.0328119,0.014278,36.7804
0.0109937,0.00251477,0.0129915,34.7161
0.0175962,0.0109257,0.0142732,36.2114
0.0120435,0.00274997,0.00596772,33.4056
0.0165503,0.00275315,0.00524643,33.1699
0.0190475,0.00277047,0.00706438,33.5058
0.0199998,0.00271834,0.00995962,34.0387
0.0190698,0.00270081,0.0129046,34.5442
0.0178137,0.00288605,0.0141332,34.7251
0.017596,0.0140494,0.0142732,36.6045
0.0124142,0.0359355,0.0142794,36.5711
0.0175905,0.00466745,0.0142766,34.9569
0.0175975,0.0124852,0.0142724,36.4465
0.0175925,0.0171815,0.0142754,36.6897
0.0175895,0.0203104,0.0142772,36.6307
0.0175876,0.0234368,0.0142783,36.5419
0.0175873,0.0265618,0.0142785,36.4785
0.0175866,0.0296848,0.014279,36.4368
0.0175866,0.0328082,0.014279,36.3725
0.0176037,0.0359388,0.0142686,36.1841
0.0176689,0.0390881,0.0142281,35.7412
0.0177472,0.0422448,0.0141777,35.0992
0.0176197,0.0453497,0.0142588,34.6066
0.0197279,0.0472463,0.0116268,34.0319
0.0189911,0.0472811,0.0130118,34.2415
0.0125071,0.0436781,0.0143342,35.1215
0.012144,0.0470591,0.014104,34.6245
0.0197732,0.047258,0.00851114,33.532
0.0179659,0.0472631,0.00597468,33.1349
0.0150307,0.0472894,0.00500009,33.0125
0.0121107,0.04732,0.00591933,33.2752
0.0102826,0.0473386,0.00834289,33.7794
0.0101975,0.0473021,0.0113916,34.3172
0.0124299,0.0390492,0.0142889,36.0968
0.0124103,0.0265619,0.0142771,36.8859
0.0124113,0.0296873,0.0142777,36.851
0.0124618,0.0405886,0.0143079,35.7784
0.0102254,0.00275112,0.00851564,33.9477
0.0175857,0.00937516,0.0142795,35.8992
0.0175587,0.00783203,0.0142957,35.5657
0.0124087,0.0234358,0.0142761,36.9311
0.0124082,0.0203091,0.0142758,36.9859
0.0124076,0.0171797,0.0142754,36.9924
0.0124071,0.0140505,0.0142752,36.839
0.0124215,0.0109466,0.0142838,36.4054
0.0124195,0.00787029,0.0142826,35.716
0.0121508,0.00469881,0.0141088,35.0775
0.0179452,0.00276333,0.00595946,33.3019
0.0100012,0.00273468,0.010108,34.2524
0.0150001,0.00274628,0.005,33.1426
0.0197518,0.00275933,0.00844421,33.7626
0.0197757,0.00266528,0.0114807,34.3068
0.0175873,0.0249995,0.0142785,36.5058
0.0175884,0.0218738,0.0142779,36.5837
0.017591,0.018746,0.0142763,36.6723
0.017594,0.0156164,0.0142745,36.6783
0.0175871,0.0281235,0.0142787,36.4609
0.0175859,0.0312461,0.0142794,36.4104
0.017591,0.0343722,0.0142763,36.3033
0.0176293,0.0375108,0.0142528,36.0094
0.0177155,0.0406675,0.0141983,35.4199
0.0177172,0.0438043,0.0141972,34.8252
0.0199994,0.0472514,0.0100753,33.7806
0.019072,0.0472548,0.00709849,33.3089
0.0165696,0.0472751,0.00525276,33.0242
0.0134927,0.0473039,0.00523261,33.0974
0.0110075,0.0473337,0.00699007,33.5121
0.0100021,0.0473317,0.00985597,34.0613
0.0108834,0.0472185,0.0128379,34.5211
0.011356,0.0273431,0.0134236,36.6353
0.011357,0.0304685,0.0134247,36.5731
0.0187691,0.0446645,0.0132854,34.5239
0.0194628,0.00417479,0.00774542,33.6684
0.011353,0.022653,0.0134205,36.691
0.0113528,0.0195235,0.0134202,36.697
0.0113527,0.0163883,0.0134201,36.6251
0.0113514,0.0132522,0.0134187,36.3898
0.0113747,0.010171,0.0134435,35.9361
0.0113601,0.00719741,0.013428,35.3822
0.0113577,0.0335924,0.0134254,36.4458
0.0195247,0.00391944,0.0121276,34.5055
0.0194959,0.0458773,0.00781219,33.4544
0.0108617,0.00404404,0.0128061,34.8102
0.0127132,0.00412051,0.0055536,33.3204
0.0114778,0.0443112,0.0135488,34.9283
0.0101026,0.00407174,0.0110079,34.4866
0.0100992,0.0460069,0.00900881,33.9489
0.0111497,0.00569075,0.0131898,35.0981
0.0185486,0.00416206,0.00647758,33.4296
0.018707,0.0382891,0.0133553,35.4876
0.0113621,0.0367166,0.0134301,36.1685
0.0186755,0.00408339,0.0133897,34.7399
0.0113592,0.0351541,0.0134271,36.3319
