Block Name,Point ID,FamilyIdNode,NumIdNode,Points_0,Points_1,Points_2,Points_Magnitude
dataset_1,83,0,392,0.0005,0.0262175,0.025,0.0362299
dataset_1,84,0,393,0.0005,0.0264144,0.025,0.0363727
dataset_1,85,0,394,0.0005,0.0266114,0.025,0.036516
dataset_1,86,0,395,0.0005,0.0268084,0.025,0.0366598
dataset_1,87,0,396,0.0005,0.0270054,0.025,0.0368041
dataset_1,88,0,397,0.0005,0.0272023,0.025,0.0369488
dataset_1,89,0,398,0.0005,0.0273993,0.025,0.0370941
dataset_1,90,0,399,0.0005,0.0275963,0.025,0.0372398
dataset_1,91,0,400,0.0005,0.0277933,0.025,0.037386
dataset_1,92,0,401,0.0005,0.0279902,0.025,0.0375327
dataset_1,93,0,402,0.0005,0.0281872,0.025,0.0376798
dataset_1,94,0,403,0.0005,0.0283842,0.025,0.0378274
dataset_1,95,0,404,0.0005,0.0285811,0.025,0.0379754
dataset_1,96,0,405,0.0005,0.0287781,0.025,0.0381239
dataset_1,97,0,406,0.0005,0.0289751,0.025,0.0382728
dataset_1,98,0,407,0.0005,0.0291721,0.025,0.0384221
dataset_1,99,0,408,0.0005,0.029369,0.025,0.0385719
dataset_1,100,0,409,0.0005,0.029566,0.025,0.0387221
dataset_1,101,0,410,0.0005,0.029763,0.025,0.0388727
dataset_1,102,0,411,0.0005,0.02996,0.025,0.0390237
dataset_1,103,0,412,0.0005,0.0301569,0.025,0.0391751
dataset_1,104,0,413,0.0005,0.0303539,0.025,0.039327
dataset_1,105,0,414,0.0005,0.0305509,0.025,0.0394792
dataset_1,106,0,415,0.0005,0.0307479,0.025,0.0396318
dataset_1,107,0,416,0.0005,0.0309448,0.025,0.0397848
dataset_1,108,0,417,0.0005,0.0311418,0.025,0.0399382
dataset_1,109,0,418,0.0005,0.0313388,0.025,0.040092
dataset_1,110,0,419,0.0005,0.0315358,0.025,0.0402462
dataset_1,111,0,420,0.0005,0.0317327,0.025,0.0404007
dataset_1,112,0,421,0.0005,0.0319297,0.025,0.0405556
dataset_1,113,0,422,0.0005,0.0321267,0.025,0.0407108
dataset_1,114,0,423,0.0005,0.0323236,0.025,0.0408665
dataset_1,115,0,424,0.0005,0.0325206,0.025,0.0410224
dataset_1,116,0,425,0.0005,0.0327176,0.025,0.0411788
dataset_1,117,0,426,0.0005,0.0329146,0.025,0.0413354
dataset_1,118,0,427,0.0005,0.0331115,0.025,0.0414925
dataset_1,119,0,428,0.0005,0.0333085,0.025,0.0416498
dataset_1,120,0,429,0.0005,0.0335055,0.025,0.0418075
dataset_1,121,0,430,0.0005,0.0337025,0.025,0.0419655
dataset_1,122,0,431,0.0005,0.0338994,0.025,0.0421239
dataset_1,123,0,432,0.0005,0.0340964,0.025,0.0422826
dataset_1,124,0,433,0.0005,0.0342934,0.025,0.0424416
dataset_1,125,0,434,0.0005,0.0344904,0.025,0.0426009
dataset_1,126,0,435,0.0005,0.0346873,0.025,0.0427605
dataset_1,127,0,436,0.0005,0.0348843,0.025,0.0429204
dataset_1,128,0,437,0.0005,0.0350813,0.025,0.0430807
dataset_1,129,0,438,0.0005,0.0352783,0.025,0.0432412
dataset_1,130,0,439,0.0005,0.0354752,0.025,0.0434021
dataset_1,131,0,440,0.0005,0.0356722,0.025,0.0435632
dataset_1,132,0,441,0.0005,0.0358692,0.025,0.0437247
dataset_1,133,0,442,0.0005,0.0360661,0.025,0.0438864
dataset_1,134,0,443,0.0005,0.0362631,0.025,0.0440484
dataset_1,135,0,444,0.0005,0.0364601,0.025,0.0442107
dataset_1,136,0,445,0.0005,0.0366571,0.025,0.0443733
dataset_1,137,0,446,0.0005,0.036854,0.025,0.0445362
dataset_1,138,0,447,0.0005,0.037051,0.025,0.0446993
dataset_1,139,0,448,0.0005,0.037248,0.025,0.0448627
dataset_1,140,0,449,0.0005,0.037445,0.025,0.0450264
dataset_1,141,0,450,0.0005,0.0376419,0.025,0.0451903
dataset_1,142,0,451,0.0005,0.0378389,0.025,0.0453545
dataset_1,143,0,452,0.0005,0.0380359,0.025,0.045519
dataset_1,144,0,453,0.0005,0.0382329,0.025,0.0456837
dataset_1,145,0,454,0.0005,0.0384298,0.025,0.0458487
dataset_1,146,0,455,0.0005,0.0386268,0.025,0.0460139
dataset_1,147,0,456,0.0005,0.0387791,0.025,0.0461418
dataset_1,148,0,457,0.0005,0.0389324,0.025,0.0462708
dataset_1,149,0,458,0.0005,0.0390843,0.025,0.0463986
dataset_1,150,0,459,0.0005,0.0392197,0.025,0.0465127
dataset_1,151,0,460,0.0005,0.0393705,0.025,0.04664
dataset_1,152,0,461,0.000656953,0.0105,0.025,0.0271235
dataset_1,153,0,462,0.000854999,0.0105,0.025,0.027129
dataset_1,154,0,463,0.00105293,0.0105,0.025,0.0271359
dataset_1,155,0,464,0.00125085,0.0105,0.025,0.0271443
dataset_1,156,0,465,0.00144878,0.0105,0.025,0.0271542
dataset_1,157,0,466,0.0016467,0.0105,0.025,0.0271654
dataset_1,158,0,467,0.00184463,0.0105,0.025,0.0271782
dataset_1,159,0,468,0.00204256,0.0105,0.025,0.0271923
dataset_1,160,0,469,0.00224048,0.0105,0.025,0.0272079
dataset_1,161,0,470,0.00243841,0.0105,0.025,0.0272249
dataset_1,162,0,471,0.00263634,0.0105,0.025,0.0272434
dataset_1,163,0,472,0.00283426,0.0105,0.025,0.0272632
dataset_1,164,0,473,0.00303219,0.0105,0.025,0.0272845
dataset_1,165,0,474,0.00323012,0.0105,0.025,0.0273072
dataset_1,166,0,475,0.00342804,0.0105,0.025,0.0273313
dataset_1,167,0,476,0.00362597,0.0105,0.025,0.0273569
dataset_1,168,0,477,0.0038239,0.0105,0.025,0.0273838
dataset_1,169,0,478,0.00402182,0.0105,0.025,0.0274121
dataset_1,170,0,479,0.00421975,0.0105,0.025,0.0274419
dataset_1,171,0,480,0.00441767,0.0105,0.025,0.027473
dataset_1,172,0,481,0.0046156,0.0105,0.025,0.0275055
dataset_1,173,0,482,0.00481353,0.0105,0.025,0.0275394
dataset_1,174,0,483,0.00501145,0.0105,0.025,0.0275747
dataset_1,175,0,484,0.00520938,0.0105,0.025,0.0276114
dataset_1,176,0,485,0.00540731,0.0105,0.025,0.0276494
dataset_1,177,0,486,0.00560523,0.0105,0.025,0.0276888
dataset_1,178,0,487,0.00580316,0.0105,0.025,0.0277295
dataset_1,179,0,488,0.00600109,0.0105,0.025,0.0277716
