Block Name,Point ID,FamilyIdNode,NumIdNode,Points_0,Points_1,Points_2,Points_Magnitude
dataset_1,309,0,3391,0.0113567,0.0289059,0.0134243,0.0338339
dataset_1,310,0,3392,0.0105116,0.00414018,0.00779685,0.0137268
dataset_1,311,0,3393,0.0113678,0.0382792,0.0134361,0.0421314
dataset_1,312,0,3394,0.0186553,0.0101269,0.0134116,0.0251086
dataset_1,313,0,3395,0.0194019,0.0458472,0.0123713,0.0512976
dataset_1,314,0,3396,0.0186418,0.0226551,0.013426,0.032265
dataset_1,315,0,3397,0.0113572,0.0320307,0.0134249,0.0365401
dataset_1,316,0,3398,0.0186486,0.0163943,0.0134187,0.0282242
dataset_1,317,0,3399,0.019953,0.0459078,0.00931572,0.0509159
dataset_1,318,0,3400,0.0185872,0.00708324,0.0134831,0.0240302
dataset_1,319,0,3401,0.0100446,0.00411646,0.00933339,0.0143162
dataset_1,320,0,3402,0.0113527,0.0210883,0.0134201,0.0274535
dataset_1,321,0,3403,0.0113527,0.0179576,0.0134201,0.0251289
dataset_1,322,0,3404,0.0113522,0.0148201,0.0134196,0.0229911
dataset_1,323,0,3405,0.0113546,0.0116967,0.0134222,0.0211163
dataset_1,324,0,3406,0.0114234,0.00869632,0.013494,0.019703
dataset_1,325,0,3407,0.0142131,0.0041197,0.00506231,0.01564
dataset_1,326,0,3408,0.0187693,0.0398814,0.0132852,0.046036
dataset_1,327,0,3409,0.0199374,0.00414786,0.00921157,0.0223508
dataset_1,328,0,3410,0.0186415,0.0273425,0.0134263,0.0357125
dataset_1,329,0,3411,0.0185621,0.0460519,0.0135088,0.0514569
dataset_1,330,0,3412,0.0185307,0.00560273,0.0135404,0.0236245
dataset_1,331,0,3413,0.0113843,0.0398325,0.0134535,0.0435572
dataset_1,332,0,3414,0.0186431,0.0210916,0.0134246,0.0311872
dataset_1,333,0,3415,0.01864,0.0304628,0.0134279,0.0381541
dataset_1,334,0,3416,0.0186399,0.0335824,0.013428,0.0406883
dataset_1,335,0,3417,0.0185782,0.0458857,0.00650762,0.0499299
dataset_1,336,0,3418,0.015816,0.045922,0.00506703,0.0488329
dataset_1,337,0,3419,0.0127934,0.0459655,0.00551327,0.0480301
dataset_1,338,0,3420,0.0135233,0.0446042,0.00522304,0.0469009
dataset_1,339,0,3421,0.0194271,0.0249996,0.0123239,0.0339746
dataset_1,340,0,3422,0.0194234,0.03279,0.012331,0.0400563
dataset_1,341,0,3423,0.0191122,0.0445018,0.00715578,0.0489581
dataset_1,342,0,3424,0.0195783,0.0406613,0.0120098,0.0466999
dataset_1,343,0,3425,0.0106247,0.0446282,0.0124201,0.047527
dataset_1,344,0,3426,0.0150025,0.00549904,0.005,0.0167426
dataset_1,345,0,3427,0.0107058,0.00804354,0.0125613,0.0183602
dataset_1,346,0,3428,0.0105662,0.0203017,0.0123111,0.0259878
dataset_1,347,0,3429,0.0105669,0.0171636,0.0123125,0.0236187
dataset_1,348,0,3430,0.0105673,0.0140132,0.0123132,0.0214395
dataset_1,349,0,3431,0.010566,0.0108671,0.0123109,0.0195267
dataset_1,350,0,3432,0.0199997,0.00554225,0.010053,0.0230601
dataset_1,351,0,3433,0.01943,0.0203082,0.0123185,0.030687
dataset_1,352,0,3434,0.0105715,0.034372,0.0123214,0.0380132
dataset_1,353,0,3435,0.010566,0.0218675,0.0123107,0.0272283
dataset_1,354,0,3436,0.0199984,0.0446513,0.0101271,0.0499623
dataset_1,355,0,3437,0.019068,0.00557953,0.00709281,0.0210956
dataset_1,356,0,3438,0.0105707,0.0296876,0.0123198,0.0338359
