Compiling model...
'compile' took 0.263751 s
Warning: epochs is deprecated and will be removed in a future version. Use iterations instead.
Training model...
Step      Train loss                        Test loss                         Test metric
4900      [1.69e-06, 1.93e+00, 2.12e+02]    [1.69e-06, 1.93e+00, 2.12e+02]    []
5000      [1.58e-06, 2.58e+00, 2.02e+02]    [1.58e-06, 2.58e+00, 2.02e+02]    []
5100      [1.47e-06, 3.47e+00, 1.92e+02]    [1.47e-06, 3.47e+00, 1.92e+02]    []
5200      [1.38e-06, 4.57e+00, 1.83e+02]    [1.38e-06, 4.57e+00, 1.83e+02]    []
5300      [1.30e-06, 5.88e+00, 1.74e+02]    [1.30e-06, 5.88e+00, 1.74e+02]    []
5400      [1.22e-06, 7.36e+00, 1.66e+02]    [1.22e-06, 7.36e+00, 1.66e+02]    []
5500      [1.15e-06, 9.01e+00, 1.58e+02]    [1.15e-06, 9.01e+00, 1.58e+02]    []
5600      [1.09e-06, 1.08e+01, 1.51e+02]    [1.09e-06, 1.08e+01, 1.51e+02]    []
5700      [1.03e-06, 1.27e+01, 1.44e+02]    [1.03e-06, 1.27e+01, 1.44e+02]    []
5800      [9.80e-07, 1.48e+01, 1.37e+02]    [9.80e-07, 1.48e+01, 1.37e+02]    []
5900      [9.33e-07, 1.69e+01, 1.31e+02]    [9.33e-07, 1.69e+01, 1.31e+02]    []
6000      [8.91e-07, 1.91e+01, 1.25e+02]    [8.91e-07, 1.91e+01, 1.25e+02]    []
6100      [8.52e-07, 2.14e+01, 1.19e+02]    [8.52e-07, 2.14e+01, 1.19e+02]    []
6200      [8.17e-07, 2.37e+01, 1.14e+02]    [8.17e-07, 2.37e+01, 1.14e+02]    []
6300      [7.85e-07, 2.60e+01, 1.09e+02]    [7.85e-07, 2.60e+01, 1.09e+02]    []
6400      [7.56e-07, 2.83e+01, 1.04e+02]    [7.56e-07, 2.83e+01, 1.04e+02]    []
6500      [7.29e-07, 3.06e+01, 1.00e+02]    [7.29e-07, 3.06e+01, 1.00e+02]    []
6600      [7.06e-07, 3.28e+01, 9.64e+01]    [7.06e-07, 3.28e+01, 9.64e+01]    []
6700      [6.84e-07, 3.50e+01, 9.27e+01]    [6.84e-07, 3.50e+01, 9.27e+01]    []
6800      [6.65e-07, 3.72e+01, 8.94e+01]    [6.65e-07, 3.72e+01, 8.94e+01]    []
6900      [6.47e-07, 3.92e+01, 8.64e+01]    [6.47e-07, 3.92e+01, 8.64e+01]    []
7000      [6.31e-07, 4.12e+01, 8.36e+01]    [6.31e-07, 4.12e+01, 8.36e+01]    []
7100      [6.17e-07, 4.30e+01, 8.11e+01]    [6.17e-07, 4.30e+01, 8.11e+01]    []
7200      [6.04e-07, 4.48e+01, 7.88e+01]    [6.04e-07, 4.48e+01, 7.88e+01]    []
7300      [5.93e-07, 4.64e+01, 7.67e+01]    [5.93e-07, 4.64e+01, 7.67e+01]    []
7400      [5.83e-07, 4.80e+01, 7.48e+01]    [5.83e-07, 4.80e+01, 7.48e+01]    []
7500      [5.74e-07, 4.93e+01, 7.32e+01]    [5.74e-07, 4.93e+01, 7.32e+01]    []
7600      [5.67e-07, 5.06e+01, 7.17e+01]    [5.67e-07, 5.06e+01, 7.17e+01]    []
7700      [5.60e-07, 5.17e+01, 7.04e+01]    [5.60e-07, 5.17e+01, 7.04e+01]    []
7800      [5.54e-07, 5.28e+01, 6.93e+01]    [5.54e-07, 5.28e+01, 6.93e+01]    []
7900      [5.49e-07, 5.36e+01, 6.83e+01]    [5.49e-07, 5.36e+01, 6.83e+01]    []
8000      [5.45e-07, 5.44e+01, 6.75e+01]    [5.45e-07, 5.44e+01, 6.75e+01]    []
8100      [5.41e-07, 5.51e+01, 6.68e+01]    [5.41e-07, 5.51e+01, 6.68e+01]    []
8200      [5.38e-07, 5.57e+01, 6.62e+01]    [5.38e-07, 5.57e+01, 6.62e+01]    []
8300      [5.36e-07, 5.62e+01, 6.57e+01]    [5.36e-07, 5.62e+01, 6.57e+01]    []
8400      [5.34e-07, 5.66e+01, 6.53e+01]    [5.34e-07, 5.66e+01, 6.53e+01]    []
8500      [5.32e-07, 5.69e+01, 6.49e+01]    [5.32e-07, 5.69e+01, 6.49e+01]    []
8600      [5.31e-07, 5.72e+01, 6.47e+01]    [5.31e-07, 5.72e+01, 6.47e+01]    []
8700      [5.30e-07, 5.74e+01, 6.44e+01]    [5.30e-07, 5.74e+01, 6.44e+01]    []
8800      [5.29e-07, 5.75e+01, 6.43e+01]    [5.29e-07, 5.75e+01, 6.43e+01]    []
8900      [5.29e-07, 5.77e+01, 6.41e+01]    [5.29e-07, 5.77e+01, 6.41e+01]    []
9000      [5.28e-07, 5.78e+01, 6.40e+01]    [5.28e-07, 5.78e+01, 6.40e+01]    []
9100      [5.28e-07, 5.78e+01, 6.40e+01]    [5.28e-07, 5.78e+01, 6.40e+01]    []
9200      [5.28e-07, 5.79e+01, 6.39e+01]    [5.28e-07, 5.79e+01, 6.39e+01]    []
9300      [5.28e-07, 5.79e+01, 6.39e+01]    [5.28e-07, 5.79e+01, 6.39e+01]    []
9400      [5.28e-07, 5.80e+01, 6.38e+01]    [5.28e-07, 5.80e+01, 6.38e+01]    []
9500      [5.28e-07, 5.80e+01, 6.38e+01]    [5.28e-07, 5.80e+01, 6.38e+01]    []
9600      [5.28e-07, 5.80e+01, 6.38e+01]    [5.28e-07, 5.80e+01, 6.38e+01]    []
9700      [5.28e-07, 5.80e+01, 6.38e+01]    [5.28e-07, 5.80e+01, 6.38e+01]    []
9800      [5.29e-07, 5.80e+01, 6.38e+01]    [5.29e-07, 5.80e+01, 6.38e+01]    []
9900      [5.29e-07, 5.80e+01, 6.38e+01]    [5.29e-07, 5.80e+01, 6.38e+01]    []
10000     [5.29e-07, 5.80e+01, 6.38e+01]    [5.29e-07, 5.80e+01, 6.38e+01]    []
10100     [5.29e-07, 5.80e+01, 6.38e+01]    [5.29e-07, 5.80e+01, 6.38e+01]    []
10200     [5.30e-07, 5.80e+01, 6.38e+01]    [5.30e-07, 5.80e+01, 6.38e+01]    []
10300     [5.30e-07, 5.80e+01, 6.38e+01]    [5.30e-07, 5.80e+01, 6.38e+01]    []
