Block Name,Point ID,FamilyIdNode,Points_0,Points_1,Points_2,Points_Magnitude,Temperature
dataset_1,100,1,0.02,0.01,0.02,0.03,39.5601
dataset_1,101,1,0.022,0.01,0.02,0.0313688,39.5595
dataset_1,102,1,0.024,0.01,0.02,0.0328024,39.604
dataset_1,103,1,0.026,0.01,0.02,0.0342929,39.7963
dataset_1,104,1,0.028,0.01,0.02,0.0358329,39.9317
dataset_1,105,1,0.03,0.005,0.02,0.0364005,37.0684
dataset_1,106,1,0.002,0.04,0.02,0.0447661,40.2704
dataset_1,107,1,0.004,0.04,0.02,0.0448999,40.0699
dataset_1,108,1,0.006,0.04,0.02,0.0451221,39.8452
dataset_1,109,1,0.008,0.04,0.02,0.0454313,39.6013
dataset_1,110,1,0.01,0.04,0.02,0.0458258,39.2863
dataset_1,111,1,0.012,0.04,0.02,0.0463033,39.1099
dataset_1,112,1,0.014,0.04,0.02,0.0468615,38.8288
dataset_1,113,1,0.016,0.04,0.02,0.0474974,38.6719
dataset_1,114,1,0.018,0.04,0.02,0.0482079,38.5347
dataset_1,115,1,0.02,0.04,0.02,0.0489898,38.5105
dataset_1,116,1,0.022,0.04,0.02,0.0498397,38.6005
dataset_1,117,1,0.024,0.04,0.02,0.0507543,38.5747
dataset_1,118,1,0.026,0.04,0.02,0.0517301,38.6648
dataset_1,119,1,0.028,0.04,0.02,0.0527636,38.77
dataset_1,120,1,0.03,0.012,0.02,0.038,40.971
dataset_1,121,1,0.03,0.014,0.02,0.0386782,41.3943
dataset_1,122,1,0.03,0.016,0.02,0.0394462,41.6131
dataset_1,123,1,0.03,0.018,0.02,0.0402989,41.7105
dataset_1,124,1,0.03,0.02,0.02,0.0412311,41.7321
dataset_1,125,1,0.03,0.022,0.02,0.0422374,41.6914
dataset_1,126,1,0.03,0.024,0.02,0.0433128,41.6015
dataset_1,127,1,0.03,0.026,0.02,0.0444522,41.475
dataset_1,128,1,0.03,0.028,0.02,0.0456508,41.3274
dataset_1,129,1,0.03,0.03,0.02,0.0469042,41.1341
dataset_1,130,1,0.03,0.032,0.02,0.0482079,40.8909
dataset_1,131,1,0.03,0.034,0.02,0.049558,40.5911
dataset_1,132,1,0.03,0.036,0.02,0.050951,40.2033
dataset_1,133,1,0.03,0.038,0.02,0.0523832,39.696
dataset_1,134,1,0.005,0.05,0.02,0.0540833,36.311
dataset_1,135,1,0.01,0.05,0.02,0.0547723,35.735
dataset_1,136,1,0.015,0.05,0.02,0.0559017,35.2763
dataset_1,137,1,0.02,0.05,0.02,0.0574456,35.4379
dataset_1,138,1,0.025,0.05,0.02,0.0593717,35.7406
dataset_1,139,1,0.03,0.045,0.02,0.0576628,36.463
dataset_1,140,1,0.005,0.05,0,0.0502494,34.5744
dataset_1,141,1,0.01,0.05,0,0.0509902,33.9504
dataset_1,142,1,0.015,0.05,0,0.0522015,33.5067
dataset_1,143,1,0.02,0.05,0,0.0538516,33.7591
dataset_1,144,1,0.025,0.05,0,0.0559017,34.241
dataset_1,145,1,0.03,0.05,0.005,0.0585235,34.6093
dataset_1,146,1,0.03,0.05,0.01,0.0591608,35.0154
dataset_1,147,1,0.03,0.05,0.015,0.060208,35.6083
dataset_1,148,6,0.0165529,0.05,0.0157956,0.0549863,34.7
dataset_1,149,6,0.018,0.05,0.0151962,0.0552714,34.6451
dataset_1,150,6,0.0192426,0.05,0.0142426,0.0554358,34.5533
dataset_1,151,6,0.0201962,0.05,0.013,0.0554697,34.4174
dataset_1,152,6,0.0207956,0.05,0.0115529,0.0553708,34.2364
dataset_1,153,6,0.021,0.05,0.01,0.0551453,34.0256
dataset_1,154,6,0.0207956,0.05,0.00844709,0.054807,33.8159
dataset_1,155,6,0.0201962,0.05,0.007,0.0543772,33.614
dataset_1,156,6,0.0192426,0.05,0.00575736,0.0538835,33.4396
dataset_1,157,6,0.018,0.05,0.00480385,0.053358,33.3057
dataset_1,158,6,0.0165529,0.05,0.00420445,0.0528363,33.2273
dataset_1,159,6,0.015,0.05,0.004,0.0523546,33.2205
dataset_1,160,6,0.0134471,0.05,0.00420445,0.0519471,33.297
dataset_1,161,6,0.012,0.05,0.00480385,0.0516438,33.453
dataset_1,162,6,0.0107574,0.05,0.00575736,0.0514672,33.6531
dataset_1,163,6,0.00980385,0.05,0.007,0.0514307,33.8791
dataset_1,164,6,0.00920445,0.05,0.00844709,0.0515371,34.1166
dataset_1,165,6,0.009,0.05,0.01,0.0517784,34.356
dataset_1,166,6,0.00920445,0.05,0.0115529,0.0521363,34.5807
dataset_1,167,6,0.00980385,0.05,0.013,0.0525844,34.7499
dataset_1,168,6,0.0107574,0.05,0.0142426,0.0530902,34.8399
dataset_1,169,6,0.012,0.05,0.0151962,0.0536183,34.8606
dataset_1,170,6,0.0134471,0.05,0.0157956,0.0541325,34.8125
dataset_1,171,1,0.03,0.005,0,0.0304138,34.8049
dataset_1,172,1,0.03,0.01,0,0.0316228,34.9052
dataset_1,173,1,0.03,0.015,0,0.033541,35.0987
dataset_1,174,1,0.03,0.02,0,0.0360555,35.1822
dataset_1,175,1,0.03,0.025,0,0.0390512,35.171
dataset_1,176,1,0.03,0.03,0,0.0424264,35.0686
dataset_1,177,1,0.03,0.035,0,0.0460977,34.8976
dataset_1,178,1,0.03,0.04,0,0.05,34.6851
dataset_1,179,1,0.03,0.045,0,0.0540833,34.5098
dataset_1,180,6,0.015,0.0015625,0.016,0.0219873,35.1044
dataset_1,181,6,0.015,0.003125,0.016,0.0221532,35.2657
dataset_1,182,6,0.015,0.0046875,0.016,0.0224271,35.5178
dataset_1,183,6,0.015,0.00625,0.016,0.0228049,35.8728
dataset_1,184,6,0.015,0.0078125,0.016,0.0232816,36.3227
